"data_main2.TV_Contrib","pred","data_main2.date","daypart_A_model","daypart_B_model","daypart_C_model","daypart_D_model"
14500,14659.3619466984,"5/9/2016",16150.283763344,7463.47601012452,4480.12626121824,-13434.5240879884
19400,14668.3890924113,"5/16/2016",16156.148751804,7463.4764195072,4485.48772364983,-13436.7238025497
21800,14671.6426153903,"5/23/2016",16156.6814875744,7463.47670607508,4490.12347820637,-13438.6390564656
10900,7466.92767403456,"5/30/2016",8858.09225392961,7463.47690396115,4494.13114514189,-13348.7726289981
5490,8651.49888368571,"6/6/2016",10052.4562318018,7463.47704340578,4497.59536800968,-13362.0297595315
14100,14689.8420077137,"6/13/2016",16147.7129291796,7463.47714280408,4500.58949909327,-13421.9375633632
18800,14694.8172330114,"6/20/2016",16153.9270940141,7463.4772123829,4503.17707612642,-13425.7641495119
20600,14687.0735990223,"6/27/2016",16147.2794953248,7463.47726108807,4505.41311347,-13429.0962708606
10300,8384.09888024102,"7/4/2016",9813.32754467014,7463.47729484448,4507.34522907555,-13400.0511883492
5200,8677.07424585727,"7/11/2016",10111.2858299886,7463.47731858893,4509.01462664967,-13406.7035293699
12200,14664.9882390841,"7/18/2016",16127.7777556687,7463.47733543229,4510.4569505327,-13436.7238025497
15700,14666.5497535279,"7/25/2016",16130.0084337942,7463.47734722264,4511.70302897669,-13438.6390564656
7880,9501.18106841546,"8/1/2016",10946.8617565772,7463.47735541226,4512.77951978925,-13421.9375633632
3970,9857.7210497788,"8/8/2016",11306.298367404,7463.47736116668,4513.70947072008,-13425.7641495119
2020,11042.3874890181,"8/15/2016",12493.4935891547,7463.47736520908,4514.51280551493,-13429.0962708606
1050,10332.8199692133,"8/22/2016",11786.1335770683,7463.47736804818,4515.20674524895,-13431.9977211522
558,11560.3240568206,"8/29/2016",13015.5646013947,7463.47737004176,4515.80617337249,-13434.5240879884
12200,14692.8335734692,"9/5/2016",16160.3059295441,7463.47737144927,4516.3239518515,-13447.2736793756
18300,14694.9596740176,"9/12/2016",16162.5351968481,7463.47737243453,4516.77119485199,-13447.824090117
21100,14693.7422929882,"9/19/2016",16161.4106825893,7463.47737312421,4517.1575055938,-13448.3032683191
10600,12100.4244229471,"9/26/2016",13561.2143202251,7463.47737360472,4517.49118127322,-13441.7584521559
5340,13268.6876343847,"10/3/2016",14730.453357308,7463.47737394185,4517.77939031689,-13443.0224871821
14200,14691.6550029711,"10/10/2016",16159.5490711316,7463.47737417933,4518.02832567114,-13449.399768011
19100,14694.6269140796,"10/17/2016",16162.5812149684,7463.47737434557,4518.24333734329,-13449.6750125776
22000,14696.0828235494,"10/24/2016",16164.0910333173,7463.47737446194,4518.42904698558,-13449.9146312155
11000,13448.3850598523,"10/31/2016",14912.9596889432,7463.47737454311,4518.58944694158,-13446.6414505755
5560,13048.1317036743,"11/7/2016",14513.2000225976,7463.47737460003,4518.72798585235,-13447.2736793756
14900,14695.141093745,"11/14/2016",16163.279009056,7463.47737464006,4518.8476426386,-13450.4629325897
19400,14694.7869498076,"11/21/2016",16162.9591490057,7463.47737466808,4518.95099043203,-13450.6005642982
9770,14115.1188251508,"11/28/2016",15581.3216292664,7463.47737468764,4519.04025181717,-13448.7204306204
4930,13246.9492180636,"12/5/2016",14713.4380984378,7463.47737470135,4519.11734656168,-13449.0836016372
2510,13818.1249858587,"12/12/2016",15284.8634463043,7463.47737471096,4519.18393285438,-13449.399768011
1300,13669.4668942099,"12/19/2016",15136.4230891375,7463.4773747177,4519.24144293233,-13449.6750125776
